name,ean_sku,reference_number,description,brand,category,purchased_price,landing_price,selling_price,retail_price,quantity
Apple India,9009528202232,M-120883,,,,10,11,14,24,10
Apple USA,9009528202249,M-120884,,,,14,15,19,29,10
Apple Australio,9009528202256,M-120885,,,,12,13,15,25,10
Orange UK,9009528202263,M-120886,,,,6,7,10,20,10
Orange Pakisthan,9009528202270,M-120887,,,,3,4,6,12,5
Orange Russia,9009528202188,M-120878,,,,5,6,8,16,5
Grape Oman,9009528202195,M-120879,,,,4,5,7,14,5
Grape Sreelanka,9009528202201,M-120880,,,,3,4,6,12,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
