name	ean_sku	reference_number	one_liner	description	brand	category	purchased_price	landing_price	selling_price	retail_price	quantity
RAR Plane Softshell Jacket m 24 S 16	9.01E+12	M-120883					149.95				
RAR Plane Softshell Jacket m 24 M 16	9.01E+12	M-120884					149.95				10
RAR Plane Softshell Jacket m 24 L 16	9.01E+12	M-120885					149.95				10
RAR Plane Softshell Jacket m 24 XL 16	9.01E+12	M-120886					149.95				10
RAR Plane Softshell Jacket m 24 XXL 16	9.01E+12	M-120887					149.95				
RAR Plane Pilot Jacket m 13 S 16	9.01E+12	M-120878					129.95				
RAR Plane Pilot Jacket m 13 M 16	9.01E+12	M-120879					129.95				5
RAR Plane Pilot Jacket m 13 L 16	9.01E+12	M-120880					129.95				5
RAR Plane Pilot Jacket m 13 XL 16	9.01E+12	M-120881					129.95				5
RAR Plane Pilot Jacket m 13 XXL 16	9.01E+12	M-120882					129.95				
RAR Horizon Hoody m 2H S 16	9.01E+12	M-120888					74.95				
RAR Horizon Hoody m 2H M 16	9.01E+12	M-120889					74.95				10
RAR Horizon Hoody m 2H L 16	9.01E+12	M-120890					74.95				10
RAR Horizon Hoody m 2H XL 16	9.01E+12	M-120891					74.95				10
RAR Horizon Hoody m 2H XXL 16	9.01E+12	M-120892					74.95				
RAR Commander Polo m 13 S 16	9.01E+12	M-120873					49.95				10
RAR Commander Polo m 13 M 16	9.01E+12	M-120874					49.95				2
RAR Commander Polo m 13 L 16	9.01E+12	M-120875					49.95				2
RAR Commander Polo m 13 XL 16	9.01E+12	M-120876					49.95				0
RAR Commander Polo m 13 XXL 16	9.01E+12	M-120877					49.95				
RAR Air Race T-Shirt m 3 S 16	9.01E+12	M-120863					29.95				6
RAR Air Race T-Shirt m 3 M 16	9.01E+12	M-120864					29.95				10
RAR Air Race T-Shirt m 3 L 16	9.01E+12	M-120865					29.95				
RAR Air Race T-Shirt m 3 XL 16	9.01E+12	M-120866					29.95				10
RAR Air Race T-Shirt m 3 XXL 16	9.01E+12	M-120867					29.95				
RAR Horizon T-Shirt m 1G S 16	9.01E+12	M-120868					29.95				10
RAR Horizon T-Shirt m 1G M 16	9.01E+12	M-120869					29.95				37
RAR Horizon T-Shirt m 1G L 16	9.01E+12	M-120870					29.95				25
RAR Horizon T-Shirt m 1G XL 16	9.01E+12	M-120871					29.95				28
RAR Horizon T-Shirt m 1G XXL 16	9.01E+12	M-120872					29.95				
		Women									
RAR Commander Polo w 2 XS 16	9.01E+12	M-120903					49.95				
RAR Commander Polo w 2 S 16	9.01E+12	M-120904					49.95				30
RAR Commander Polo w 2 M 16	9.01E+12	M-120905					49.95				30
RAR Commander Polo w 2 L 16	9.01E+12	M-120906					49.95				30
RAR Commander Polo w 2 XL 16	9.01E+12	M-120907					49.95				
RAR Air Race T-Shirt w 3 XS 16	9.01E+12	M-120893					29.95				
RAR Air Race T-Shirt w 3 S 16	9.01E+12	M-120894					29.95				
RAR Air Race T-Shirt w 3 M 16	9.01E+12	M-120895					29.95				30
RAR Air Race T-Shirt w 3 L 16	9.01E+12	M-120896					29.95				23
RAR Air Race T-Shirt w 3 XL 16	9.01E+12	M-120897					29.95				
		Kids									
RAR Contrail T-Shirt k 13 104 16	9.01E+12	M-120922					24.95				
RAR Contrail T-Shirt k 13 116 16	9.01E+12	M-120923					24.95				20
RAR Contrail T-Shirt k 13 128 16	9.01E+12	M-120924					24.95				20
RAR Contrail T-Shirt k 13 140 16	9.01E+12	M-120925					24.95				20
RAR Contrail T-Shirt k 13 152 16	9.01E+12	M-120926					24.95				20
RAR Contrail T-Shirt k 13 164 16	9.01E+12	M-120927					24.95				
RAR Air Race T-Shirt k 2 116 16	9.01E+12	M-120847					24.95				7
RAR Air Race T-Shirt k 2 128 16	9.01E+12	M-120848					24.95				15
RAR Air Race T-Shirt k 2 140 16	9.01E+12	M-120849					24.95				15
RAR Air Race T-Shirt k 2 152 16	9.01E+12	M-120850					24.95				15
RAR Air Race T-Shirt k 2 164 16	9.01E+12	M-120921					24.95				
		Accessories									
RAR Tricolor Cap 1G OSFA 16	9.01E+12	M-120858					24.95				400
RAR Tricolor Cap JUNIOR	9.01E+12	M-120859					19.95				200
New Era 9FIFTY Aircraft Cap	9.01E+12	M-121156					34.95				79
RAR Plane Beanie 1J OSFA 16	9.01E+12	M-121157					24.95				50
RAR Stainless Steel Cup 27 NS 16	9.01E+12	M-121161					19.95				45
"""Remove before Flight"" keyring "	9.01E+12	M-121293					4.95				100
		Toys & Models									
RAR Pylone-Toy New Logo 5 16	4.89E+12	M-122801					14.95				21
