name,ean_sku,reference_number,description,brand,category,purchased_price,landed_price,selling_price,retail_price,quantity
RAR Plane Softshell Jacket m 24 S 16,9009528202232,M-120883,,,,149.95,,,,
RAR Plane Softshell Jacket m 24 M 16,9009528202249,M-120884,,,,149.95,,,,10
RAR Plane Softshell Jacket m 24 L 16,9009528202256,M-120885,,,,149.95,,,,10
RAR Plane Softshell Jacket m 24 XL 16,9009528202263,M-120886,,,,149.95,,,,10
RAR Plane Softshell Jacket m 24 XXL 16,9009528202270,M-120887,,,,149.95,,,,
RAR Plane Pilot Jacket m 13 S 16,9009528202188,M-120878,,,,129.95,,,,
RAR Plane Pilot Jacket m 13 M 16,9009528202195,M-120879,,,,129.95,,,,5
RAR Plane Pilot Jacket m 13 L 16,9009528202201,M-120880,,,,129.95,,,,5
RAR Plane Pilot Jacket m 13 XL 16,9009528202218,M-120881,,,,129.95,,,,5
RAR Plane Pilot Jacket m 13 XXL 16,9009528202225,M-120882,,,,129.95,,,,
RAR Horizon Hoody m 2H S 16,9009528202287,M-120888,,,,74.95,,,,
RAR Horizon Hoody m 2H M 16,9009528202294,M-120889,,,,74.95,,,,10
RAR Horizon Hoody m 2H L 16,9009528202300,M-120890,,,,74.95,,,,10
RAR Horizon Hoody m 2H XL 16,9009528202317,M-120891,,,,74.95,,,,10
RAR Horizon Hoody m 2H XXL 16,9009528202324,M-120892,,,,74.95,,,,
RAR Commander Polo m 13 S 16,9009528202133,M-120873,,,,49.95,,,,10
RAR Commander Polo m 13 M 16,9009528202140,M-120874,,,,49.95,,,,2
RAR Commander Polo m 13 L 16,9009528202157,M-120875,,,,49.95,,,,2
RAR Commander Polo m 13 XL 16,9009528202164,M-120876,,,,49.95,,,,0
RAR Commander Polo m 13 XXL 16,9009528202171,M-120877,,,,49.95,,,,
RAR Air Race T-Shirt m 3 S 16,9009528202034,M-120863,,,,29.95,,,,6
RAR Air Race T-Shirt m 3 M 16,9009528202041,M-120864,,,,29.95,,,,10
RAR Air Race T-Shirt m 3 L 16,9009528202058,M-120865,,,,29.95,,,,
RAR Air Race T-Shirt m 3 XL 16,9009528202065,M-120866,,,,29.95,,,,10
RAR Air Race T-Shirt m 3 XXL 16,9009528202072,M-120867,,,,29.95,,,,
RAR Horizon T-Shirt m 1G S 16,9009528202089,M-120868,,,,29.95,,,,10
RAR Horizon T-Shirt m 1G M 16,9009528202096,M-120869,,,,29.95,,,,37
RAR Horizon T-Shirt m 1G L 16,9009528202102,M-120870,,,,29.95,,,,25
RAR Horizon T-Shirt m 1G XL 16,9009528202119,M-120871,,,,29.95,,,,28
RAR Horizon T-Shirt m 1G XXL 16,9009528202126,M-120872,,,,29.95,,,,
RAR Commander Polo w 2 XS 16,9009528202430,M-120903,,,,49.95,,,,
RAR Commander Polo w 2 S 16,9009528202447,M-120904,,,,49.95,,,,30
RAR Commander Polo w 2 M 16,9009528202454,M-120905,,,,49.95,,,,30
RAR Commander Polo w 2 L 16,9009528202461,M-120906,,,,49.95,,,,30
RAR Commander Polo w 2 XL 16,9009528202478,M-120907,,,,49.95,,,,
RAR Air Race T-Shirt w 3 XS 16,9009528202331,M-120893,,,,29.95,,,,
RAR Air Race T-Shirt w 3 S 16,9009528202348,M-120894,,,,29.95,,,,
RAR Air Race T-Shirt w 3 M 16,9009528202355,M-120895,,,,29.95,,,,30
RAR Air Race T-Shirt w 3 L 16,9009528202362,M-120896,,,,29.95,,,,23
RAR Air Race T-Shirt w 3 XL 16,9009528202379,M-120897,,,,29.95,,,,
RAR Contrail T-Shirt k 13 104 16,9009528202607,M-120922,,,,24.95,,,,
RAR Contrail T-Shirt k 13 116 16,9009528202614,M-120923,,,,24.95,,,,20
RAR Contrail T-Shirt k 13 128 16,9009528202621,M-120924,,,,24.95,,,,20
RAR Contrail T-Shirt k 13 140 16,9009528202638,M-120925,,,,24.95,,,,20
RAR Contrail T-Shirt k 13 152 16,9009528202645,M-120926,,,,24.95,,,,20
RAR Contrail T-Shirt k 13 164 16,9009528202652,M-120927,,,,24.95,,,,
RAR Air Race T-Shirt k 2 116 16,9009528201952,M-120847,,,,24.95,,,,7
RAR Air Race T-Shirt k 2 128 16,9009528201969,M-120848,,,,24.95,,,,15
RAR Air Race T-Shirt k 2 140 16,9009528201976,M-120849,,,,24.95,,,,15
RAR Air Race T-Shirt k 2 152 16,9009528201983,M-120850,,,,24.95,,,,15
RAR Air Race T-Shirt k 2 164 16,9009528201990,M-120921,,,,24.95,,,,
RAR Tricolor Cap 1G OSFA 16,9009528201587,M-120858,,,,24.95,,,,400
RAR Tricolor Cap JUNIOR,9009528201594,M-120859,,,,19.95,,,,200
New Era 9FIFTY Aircraft Cap,9009528204502,M-121156,,,,34.95,,,,79
RAR Plane Beanie 1J OSFA 16,9009528204519,M-121157,,,,24.95,,,,50
RAR Stainless Steel Cup 27 NS 16,9009528204557,M-121161,,,,19.95,,,,45
"""Remove before Flight"" keyring ",9009528205523,M-121293,,,,4.95,,,,100
RAR Pylone-Toy New Logo 5 16,4893993009831,M-122801,,,,14.95,,,,21
